,Movie Name,Year of Release,Genre,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
825,Spelets regler,(1939),"Comedy, Drama            ",110 min,8.0,-,"27,279",-,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
826,Galakväll på operan,(1935),"Comedy, Music, Musical            ",96 min,7.9,-,"31,157",$2.54M,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
827,Hiroshima - min älskade,(1959),"Drama, Romance            ",90 min,7.9,-,"29,402",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
828,Hämnden,(2010),"Drama, Romance            ",118 min,7.6,65        ,"38,959",$1.01M,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait."
829,G.O.R.A.,(2004),"Adventure, Comedy, Sci-Fi            ",127 min,8.0,-,"58,837",-,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
830,Den lilla butiken,(1940),"Comedy, Drama, Romance            ",99 min,8.1,96        ,"29,283",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
831,A Wednesday,(2008),"Action, Crime, Drama            ",104 min,8.1,-,"75,289",-,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
832,Glödhett,(1949),"Action, Crime, Drama            ",114 min,8.1,-,"30,538",-,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
833,Airlift,(2016),"Drama, History            ",130 min,8.0,-,"54,074",-,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
834,Waltz with Bashir,(2008),"Animation, Biography, Drama            ",90 min,8.0,91        ,"55,813",$2.28M,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.
835,Jungfrukällan,(1960),Drama            ,89 min,8.1,-,"27,393",$1.53M,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
836,Mandarinodlaren,(2013),"Drama, War            ",87 min,8.2,73        ,"42,894",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
837,Brotherhood of War - Taegukgi,(2004),"Action, Drama, War            ",140 min,8.0,64        ,"38,282",$1.11M,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
838,C.R.A.Z.Y.,(2005),"Comedy, Drama            ",129 min,7.9,81        ,"31,730",-,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
839,Andaz Apna Apna,(1994),"Action, Comedy, Romance            ",160 min,8.1,-,"50,979",-,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.
840,Central do Brasil,(1998),Drama            ,110 min,8.0,80        ,"37,359",$5.60M,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew."
841,Sanjuro,(1962),"Action, Comedy, Crime            ",96 min,8.1,-,"34,125",-,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent."
842,Udta Punjab,(2016),"Action, Crime, Drama            ",148 min,7.8,-,"28,150",-,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
843,Förspillda dagar,(1945),"Drama, Film-Noir            ",101 min,7.9,-,"34,380",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
844,Dev.D,(2009),"Drama, Romance            ",144 min,8.0,-,"29,377",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
845,Det förflutna,(2013),"Drama, Mystery            ",130 min,7.7,85        ,"45,864",$1.33M,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
846,Pansarkryssaren Potemkin,(1925),"Drama, History, Thriller            ",75 min,8.0,97        ,"54,317",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
847,Sju hertigar,(1949),"Comedy, Crime            ",106 min,8.0,-,"35,177",-,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
848,Tropa de Elite 2,(2010),"Action, Crime, Drama            ",115 min,8.0,71        ,"80,269",$0.10M,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
849,The Killer,(1989),"Action, Crime, Drama            ",111 min,7.8,82        ,"46,298",-,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.
850,Kairos röda ros,(1985),"Comedy, Fantasy, Romance            ",82 min,7.7,75        ,"47,995",$10.63M,"In New Jersey in 1935, a movie character walks off the screen and into the real world."
851,Dilwale Dulhania Le Jayenge,(1995),"Drama, Romance            ",189 min,8.1,-,"65,367",-,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
852,Veer-Zaara,(2004),"Drama, Family, Musical            ",192 min,7.8,67        ,"50,268",$2.92M,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
853,Once Upon a Time in Anatolia,(2011),"Crime, Drama            ",157 min,7.9,82        ,"43,620",$0.14M,A group of men set out in search of a dead body in the Anatolian steppes.
854,Hana-bi,(1997),"Crime, Drama, Romance            ",103 min,7.8,-,"28,554",$0.23M,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
855,Hera Pheri,(2000),"Action, Comedy, Crime            ",156 min,8.2,-,"59,879",-,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
856,Mordängeln,(1962),"Drama, Fantasy            ",95 min,8.1,-,"30,547",-,The guests at an upper-class dinner party find themselves unable to leave.
